"depth","headdirection","wrapping","facebundles","sex"
"2.88","W","B","N","M"
"2.88","","B","N","M"
"2.87","E","B","N",""
"2.8","","W","Y","F"
"2.78","W","B","N","M"
"2.7","W","B","N","F"
"2.64","E","B","N","F"
"2.6","W","","N",""
"2.5","W","B","N",""
"2.5","W","B","N",""
"2.45","W","B","N",""
"2.4","W","B","N",""
"2.4","W","B","N",""
"2.35","E","B","N",""
"2.35","","H","N","M"
"2.34","W","B","N",""
"2.33","E","B","N","M"
"2.312","E","B","N",""
"2.31","W","B","N",""
"2.3","W","W","N",""
"2.3","","W","N",""
"2.3","E","B","N","F"
"2.3","E","W","N",""
"2.3","E","","N",""
"2.28","W","B","N",""
"2.27","W","","N",""
"2.25","E","B","N","F"
"2.2","E","B","N",""
"2.2","W","B","N","F"
"2.2","E","B","N","F"
"2.2","E","B","N","F"
"2.19","W","B","N",""
"2.19","E","B","N","F"
"2.18","","W","N",""
"2.16","W","B","N",""
"2.12","E","W","N",""
"2.12","E","B","N",""
"2.11","","W","N",""
"2.1","W","W","N",""
"2.1","E","B","N",""
"2.1","W","W","N",""
"2.1","E","B","N",""
"2.1","E","B","N",""
"2.09","W","B","N",""
"2.09","W","B","N",""
"2.08","E","B","N",""
"2.07","E","B","N",""
"2.07","W","W","N",""
"2.05","E","B","N",""
"2.04","W","B","N",""
"2.03","","W","N",""
"2.03","W","W","N",""
"2.03","E","B","N",""
"2.02","E","B","N",""
"2.01","W","B","N",""
"2","E","B","N","M"
"2","W","B","N",""
"2","W","B","N","F"
"2","E","B","N","F"
"2","W","B","N",""
"2","E","B","N",""
"2","E","B","N",""
"2","W","B","N","M"
"1.96","W","H","N","M"
"1.95","E","B","N",""
"1.95","E","B","N","M"
"1.93","W","W","N",""
"1.92","E","W","N",""
"1.92","E","B","N",""
"1.91","E","B","N",""
"1.91","E","B","N",""
"1.9","E","B","N",""
"1.9","W","B","N",""
"1.9","E","B","N","F"
"1.9","W","B","N",""
"1.9","W","W","N",""
"1.9","E","W","N",""
"1.9","","B","N","M"
"1.9","W","W","N",""
"1.9","W","B","N",""
"1.89","W","B","N","M"
"1.88","W","B","N",""
"1.88","E","B","N",""
"1.86","W","W","N",""
"1.85","W","W","Y",""
"1.85","E","H","N",""
"1.84","E","B","N","M"
"1.84","E","B","N",""
"1.8","W","H","N",""
"1.8","","W","N",""
"1.8","E","B","N",""
"1.8","","B","N","M"
"1.8","W","B","N",""
"1.8","W","W","N","M"
"1.78","W","W","N",""
"1.77","W","W","N",""
"1.75","W","B","N",""
"1.75","W","B","N",""
"1.75","E","B","N",""
"1.75","W","H","N",""
"1.75","W","B","N","M"
"1.73","E","B","N",""
"1.72","W","B","N",""
"1.72","W","B","N",""
"1.7","W","B","N","M"
"1.7","","W","N",""
"1.7","W","W","N","F"
"1.7","","W","Y","M"
"1.7","W","B","N","F"
"1.7","W","","N",""
"1.7","","B","N",""
"1.7","","B","N",""
"1.7","E","B","N",""
"1.7","","H","N",""
"1.7","W","W","Y","M"
"1.7","W","B","N",""
"1.7","W","","N",""
"1.65","W","W","Y",""
"1.65","W","B","N","M"
"1.65","W","B","Y","M"
"1.64","W","B","N",""
"1.63","W","W","N",""
"1.62","","W","N",""
"1.62","W","W","N",""
"1.61","E","W","N",""
"1.6","E","B","N",""
"1.6","W","W","N","M"
"1.6","","B","N",""
"1.6","","W","N","M"
"1.6","W","W","N","F"
"1.6","W","W","N","M"
"1.6","","B","N","M"
"1.6","W","B","N",""
"1.6","W","B","N",""
"1.6","E","W","N",""
"1.58","W","B","N",""
"1.58","W","W","N",""
"1.56","W","W","N",""
"1.56","W","W","N",""
"1.55","W","B","N",""
"1.55","W","H","N",""
"1.54","W","B","N",""
"1.53","W","W","N","M"
"1.53","W","B","N","F"
"1.52","W","B","N","M"
"1.52","W","H","N",""
"1.52","W","W","Y",""
"1.52","E","W","N",""
"1.52","W","W","N",""
"1.51","W","W","N",""
"1.5","W","H","N",""
"1.5","W","W","N","F"
"1.5","E","B","N",""
"1.5","","W","N",""
"1.5","W","","N",""
"1.5","E","B","N",""
"1.5","W","B","N",""
"1.5","W","W","Y",""
"1.49","E","B","N",""
"1.48","E","W","N",""
"1.48","W","B","Y","M"
"1.47","W","H","N",""
"1.46","E","H","N",""
"1.46","W","H","N",""
"1.46","E","","N",""
"1.46","W","B","N",""
"1.45","W","W","N",""
"1.45","E","W","N",""
"1.45","W","W","N",""
"1.45","W","W","Y",""
"1.45","","W","N",""
"1.45","W","H","N",""
"1.45","W","W","N",""
"1.44","W","W","N","F"
"1.43","","W","N",""
"1.43","W","W","N",""
"1.42","W","W","N","M"
"1.41","W","B","N","M"
"1.41","W","B","Y",""
"1.4","W","W","Y",""
"1.4","W","B","N",""
"1.4","","B","N","M"
"1.4","W","W","N",""
"1.4","W","B","N",""
"1.4","W","B","N","M"
"1.4","","B","N",""
"1.4","","W","Y",""
"1.4","W","W","N","F"
"1.4","W","B","N","M"
"1.4","E","B","N",""
"1.4","W","W","N",""
"1.39","","W","N",""
"1.38","W","H","N","M"
"1.38","","W","N",""
"1.38","W","B","Y","M"
"1.37","W","B","N",""
"1.37","W","W","N",""
"1.37","W","W","N",""
"1.35","W","W","Y","F"
"1.35","W","B","N","M"
"1.34","E","W","N",""
"1.34","W","W","N",""
"1.33","","W","N","F"
"1.32","W","W","N",""
"1.31","","W","N",""
"1.3","W","W","Y","F"
"1.3","W","","N",""
"1.3","","H","N",""
"1.3","W","W","N",""
"1.3","W","W","N",""
"1.3","W","B","N","F"
"1.3","","H","N","F"
"1.3","E","B","N",""
"1.3","W","W","N",""
"1.3","","B","N",""
"1.3","","B","N","M"
"1.3","W","B","N",""
"1.3","W","W","N",""
"1.3","W","B","N",""
"1.3","","W","Y","F"
"1.28","W","W","N",""
"1.28","W","W","N","M"
"1.28","W","","N",""
"1.28","W","W","N",""
"1.28","W","W","N",""
"1.27","W","B","N",""
"1.27","W","B","N","F"
"1.26","W","W","N",""
"1.26","W","W","N",""
"1.26","W","W","N",""
"1.26","W","W","N",""
"1.25","W","W","N",""
"1.25","W","H","N",""
"1.25","E","W","N",""
"1.25","","","N",""
"1.25","W","W","N",""
"1.24","","W","N",""
"1.24","W","B","N",""
"1.24","W","W","N",""
"1.24","W","W","N",""
"1.23","W","W","N",""
"1.23","W","H","N","F"
"1.23","","W","N",""
"1.23","W","","N",""
"1.22","W","W","N",""
"1.22","","W","N",""
"1.22","W","H","Y",""
"1.22","W","W","N","F"
"1.22","W","","N",""
"1.22","W","W","N",""
"1.21","W","W","N",""
"1.2","W","W","N","F"
"1.2","W","W","N",""
"1.2","","B","N",""
"1.2","W","B","Y","M"
"1.2","W","W","N",""
"1.2","W","B","N",""
"1.2","W","W","Y",""
"1.2","W","B","N",""
"1.2","W","B","N",""
"1.2","","B","N",""
"1.2","W","H","Y",""
"1.2","W","","N",""
"1.2","W","W","N",""
"1.2","","W","N","M"
"1.2","W","H","N",""
"1.2","","B","N",""
"1.2","","B","Y","F"
"1.2","","W","N","M"
"1.2","W","W","N",""
"1.19","W","","N",""
"1.18","W","W","Y",""
"1.18","W","W","Y","M"
"1.17","W","W","N",""
"1.17","W","","N",""
"1.17","W","W","N",""
"1.17","W","B","N",""
"1.17","W","B","N","F"
"1.16","W","W","N",""
"1.16","W","B","N","M"
"1.15","W","W","Y",""
"1.15","W","W","N",""
"1.15","W","H","N",""
"1.15","W","W","Y",""
"1.14","W","B","N",""
"1.14","W","B","N",""
