"depth","facebundles"
NULL,NULL
NULL,NULL
NULL,NULL
"0.72",NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.15",NULL
NULL,NULL
"1.4",NULL
"0.9",NULL
"2.45",NULL
NULL,NULL
NULL,NULL
"1.45",NULL
"0.64",NULL
"1.95",NULL
"1","Y"
NULL,NULL
"2.61",NULL
"1.3",NULL
"1.7",NULL
"2.09",NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.6",NULL
"0.17",NULL
"1.28",NULL
"0.72","Y"
"0.63",NULL
NULL,NULL
NULL,NULL
"0.63",NULL
"0.18",NULL
"0.5","Y"
"0.13",NULL
"1.1",NULL
"1.73",NULL
"0.82",NULL
"1.39",NULL
NULL,NULL
"1.2",NULL
"0.76","Y"
"0.92",NULL
"",NULL
"0.75",NULL
"1.5",NULL
"2.6",NULL
"1.29",NULL
"1",NULL
"0.3",NULL
"1.39",NULL
"1.6",NULL
"1.1",NULL
NULL,NULL
"1.13",NULL
"1.95",NULL
"0.68",NULL
"0.31",NULL
"1",""
"0.7",NULL
"2.7",NULL
"1.25",NULL
"1.6",""
"0.95",NULL
"0",NULL
NULL,NULL
"0.7",NULL
"1.1",NULL
"0.94",NULL
"1.1",NULL
"2.4",NULL
"1.58",NULL
"0.5","Y"
"1",NULL
"2.07",NULL
"1.35",NULL
"0.8",NULL
"1.18","Y"
"1.75",NULL
"2",NULL
"1.04",NULL
NULL,NULL
"0.8",NULL
"1.15",NULL
"1.2","Y"
"1.4",NULL
"3.29",NULL
"1.91",NULL
"1.6",""
"1.5",NULL
"0.66",NULL
"1.1",NULL
"2.04",NULL
"0.76",NULL
"1.27",NULL
"0.9",""
"0.99",NULL
"0.13",NULL
"0.55",NULL
"2.2",NULL
"0.54","Y"
"0.35",NULL
"1.75",NULL
"0.45",NULL
"2.12",NULL
"2",NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"1.28",NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.16",NULL
"0.13",NULL
"1.14",NULL
"0.94",NULL
