"depth","headdirection"
NULL,NULL
NULL,NULL
NULL,NULL
"0.72",NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.15",""
NULL,NULL
"1.4",NULL
"0.9","W"
"2.45",NULL
NULL,NULL
NULL,NULL
"1.45",NULL
"0.64","W"
"1.95",NULL
"1",""
NULL,NULL
"2.61",NULL
"1.3",NULL
"1.7","W"
"2.09","W"
NULL,NULL
NULL,NULL
NULL,NULL
"0.6","W"
"0.17","W"
"1.28","W"
"0.72","W"
"0.63","W"
NULL,NULL
NULL,NULL
"0.63","W"
"0.18",NULL
"0.5","W"
"0.13","W"
"1.1","W"
"1.73","E"
"0.82","W"
"1.39",NULL
NULL,NULL
"1.2","W"
"0.76","W"
"0.92",""
"",""
"0.75","W"
"1.5",NULL
"2.6",NULL
"1.29",NULL
"1",NULL
"0.3","W"
"1.39",""
"1.6","E"
"1.1",""
NULL,NULL
"1.13","W"
"1.95",NULL
"0.68","E"
"0.31","W"
"1","W"
"0.7","W"
"2.7","W"
"1.25",NULL
"1.6",""
"0.95","W"
"0",NULL
NULL,NULL
"0.7","W"
"1.1","W"
"0.94",""
"1.1","W"
"2.4","W"
"1.58",NULL
"0.5","W"
"1","W"
"2.07","W"
"1.35",NULL
"0.8","W"
"1.18","W"
"1.75","W"
"2","E"
"1.04","W"
NULL,NULL
"0.8","W"
"1.15","W"
"1.2","W"
"1.4","W"
"3.29",NULL
"1.91","E"
"1.6",""
"1.5",NULL
"0.66",NULL
"1.1","W"
"2.04",NULL
"0.76","W"
"1.27","W"
"0.9",""
"0.99","W"
"0.13",NULL
"0.55","W"
"2.2","W"
"0.54","W"
"0.35","W"
"1.75","E"
"0.45","W"
"2.12","E"
"2",NULL
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"1.28","W"
NULL,NULL
NULL,NULL
NULL,NULL
"0.16","W"
"0.13","W"
"1.14","W"
"0.94","W"
"1.22","W"
"1.2",""
"1.16","W"
"0.54","W"
"0",NULL
"1.14","W"
"1.06","W"
"2.09","W"
"2.78","W"
