"depth","sex"
NULL,NULL
NULL,NULL
NULL,NULL
"0.72",""
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.15",""
NULL,NULL
"1.4","M"
"0.9",""
"2.45",""
NULL,NULL
NULL,NULL
"1.45",""
"0.64",NULL
"1.95","M"
"1","M"
NULL,NULL
"2.61",""
"1.3",""
"1.7",""
"2.09",""
NULL,NULL
NULL,NULL
NULL,NULL
"0.6",NULL
"0.17",NULL
"1.28",""
"0.72",NULL
"0.63",NULL
NULL,NULL
NULL,NULL
"0.63",NULL
"0.18",NULL
"0.5",NULL
"0.13",NULL
"1.1",""
"1.73",""
"0.82",""
"1.39",""
NULL,NULL
"1.2","F"
"0.76",""
"0.92",""
"",""
"0.75",""
"1.5","F"
"2.6",""
"1.29",""
"1",""
"0.3",""
"1.39",""
"1.6",""
"1.1",""
NULL,NULL
"1.13",""
"1.95",""
"0.68","F"
"0.31",""
"1","F"
"0.7",""
"2.7","F"
"1.25","M"
"1.6","M"
"0.95",""
"0",""
NULL,NULL
"0.7",""
"1.1",""
"0.94",""
"1.1",""
"2.4",""
"1.58",""
"0.5",""
"1",""
"2.07",""
"1.35",""
"0.8",""
"1.18","M"
"1.75",""
"2",""
"1.04",""
NULL,NULL
"0.8",""
"1.15",""
"1.2",""
"1.4",""
"3.29",""
"1.91",""
"1.6","M"
"1.5","F"
"0.66",NULL
"1.1",""
"2.04","F"
"0.76",""
"1.27",""
"0.9",""
"0.99",""
"0.13",NULL
"0.55",""
"2.2","F"
"0.54",""
"0.35",""
"1.75",""
"0.45",NULL
"2.12",""
"2",""
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"1.28",""
NULL,NULL
NULL,NULL
NULL,NULL
"0.16",NULL
"0.13",NULL
"1.14",""
"0.94",""
"1.22",""
"1.2","M"
"1.16",""
"0.54",""
"0",""
"1.14",""
"1.06",""
"2.09",""
"2.78","M"
"2.26",""
"1.8",""
NULL,NULL
"0.9","M"
"0.71",""
"1.6","F"
"1.32","F"
"2.2","F"
"1.85",""
"1.05",""
