"depth","wrapping"
NULL,NULL
NULL,NULL
NULL,NULL
"0.72","H"
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"0.15","B"
NULL,NULL
"1.4","B"
"0.9","B"
"2.45","B"
NULL,NULL
NULL,NULL
"1.45","B"
"0.64","B"
"1.95","W"
"1","W"
NULL,NULL
"2.61","B"
"1.3","W"
"1.7","B"
"2.09","B"
NULL,NULL
NULL,NULL
NULL,NULL
"0.6","W"
"0.17","B"
"1.28","W"
"0.72","W"
"0.63","B"
NULL,NULL
NULL,NULL
"0.63",""
"0.18","B"
"0.5","B"
"0.13","B"
"1.1","B"
"1.73","B"
"0.82","W"
"1.39","W"
NULL,NULL
"1.2","W"
"0.76","W"
"0.92","W"
"","W"
"0.75",""
"1.5","H"
"2.6","B"
"1.29","W"
"1","W"
"0.3",""
"1.39","W"
"1.6","W"
"1.1","W"
NULL,NULL
"1.13","W"
"1.95","W"
"0.68","H"
"0.31",""
"1","B"
"0.7","W"
"2.7","B"
"1.25","B"
"1.6","B"
"0.95","B"
"0","H"
NULL,NULL
"0.7","W"
"1.1","H"
"0.94","B"
"1.1","W"
"2.4","B"
"1.58","B"
"0.5","W"
"1","H"
"2.07","W"
"1.35","W"
"0.8","H"
"1.18","W"
"1.75","B"
"2","B"
"1.04","W"
NULL,NULL
"0.8","W"
"1.15","W"
"1.2","W"
"1.4","B"
"3.29","B"
"1.91","B"
"1.6","W"
"1.5","B"
"0.66","B"
"1.1","H"
"2.04","B"
"0.76","B"
"1.27","B"
"0.9","W"
"0.99","W"
"0.13","B"
"0.55","B"
"2.2","B"
"0.54","B"
"0.35","W"
"1.75","B"
"0.45","B"
"2.12","W"
"2","W"
NULL,NULL
NULL,NULL
NULL,NULL
NULL,NULL
"1.28",""
NULL,NULL
NULL,NULL
NULL,NULL
"0.16","B"
"0.13","B"
"1.14","W"
"0.94","W"
"1.22","H"
"1.2","W"
"1.16","W"
"0.54","W"
"0","W"
"1.14","B"
"1.06","W"
"2.09","B"
"2.78","B"
"2.26","W"
"1.8","B"
NULL,NULL
